,Negative Peak Time,Negative Peak Energy,Negative Azimuth Angle,Positive Peak Time,Positive Peak Energy,Positive Azimuth Angle,Azimuthal Ram Time,Azimuthal Ram Angle,Flyby,FlybyDate,Flyby velocity,Actuation Direction,Bulk Azimuth,Bulk Time,Bulk Deflection from Ram Angle,Negative Deflection from Ram Angle,Positive Deflection from Ram Angle,ELS crosstrack velocity,IBS crosstrack velocity,Crosstrack velocity,Absolute Crosstrack velocity,Solar Zenith Angle,Altitude,Longitude,Latitude
34,2007-02-22 03:12:47.860252000,146.89999389648438,91.16861692522252,2007-02-22 03:12:50.176533000,50.65999984741211,88.85803580284119,2007-02-22 03:12:48.922407000,90.11177407052666,t25,22/2/2007,6227.4229380070665,negative,90.01332636403185,2007-02-22 03:12:49.018392500,-0.0984477064948095,1.0568428546958586,-1.2537382676854776,114.86071567967493,-136.25672717855358,-10.700180871305431,10.700180871305431,158.75754235219605,1003.6430288076187,15.0131167291043,32.76897494648905
35,2007-02-22 03:13:39.901532000,146.89999389648438,90.9316226163237,2007-02-22 03:13:37.745424000,47.41999816894531,88.78002333641052,2007-02-22 03:13:39.073118000,90.10735200391765,t25,22/2/2007,6224.709930510756,positive,89.85582297636711,2007-02-22 03:13:38.823478000,-0.2515290275505464,0.824270612406039,-1.3273286675071319,89.54705789330401,-144.1903226485665,-27.32644917051086,27.32644917051086,153.84015992249775,1028.935472517144,12.735452221883257,37.33652483620426
36,2007-02-22 03:14:30.377546000,107.4000015258789,91.64396867904816,2007-02-22 03:14:33.161413000,32.939998626708984,88.87403111827916,2007-02-22 03:14:31.924212000,90.10504176081857,t25,22/2/2007,6218.530809314512,negative,90.25899989866366,2007-02-22 03:14:31.769479500,0.1539581378450947,1.538926918229592,-1.2310106425394025,167.00556169686138,-133.59602990329125,16.70964736926611,16.70964736926611,148.71901731415295,1082.7391570037555,10.051904446399426,42.03420046510883
37,2007-03-10 01:45:45.288051000,57.45000076293945,92.37078543771077,2007-03-10 01:45:42.805342000,21.059999465942383,89.89951920509338,2007-03-10 01:45:42.907235000,90.00141192413002,t26,10/3/2007,6209.313181012683,positive,91.13515232140207,2007-03-10 01:45:44.046696500,1.1337403972720494,2.36937351358074,-0.10189271903664121,256.70284010869716,-11.04240967231935,122.85878409714634,122.85878409714634,163.78408091230966,1171.3573235488877,7.529974022926133,14.953976182244736
38,2007-03-10 01:46:33.939945000,107.4000015258789,92.13897449635351,2007-03-10 01:46:35.950403000,39.52000045776367,90.13857456666301,2007-03-10 01:46:36.089094000,90.00057743451569,t26,10/3/2007,6218.665466714404,negative,91.13877453150826,2007-03-10 01:46:34.945174000,1.1381970969925703,2.1383970618378214,0.13799713214731923,232.0395862266861,14.97766812499681,123.527448529341,123.527448529341,160.96250914468078,1086.3024284208434,5.304787283713024,19.16240633154896
39,2007-03-10 01:47:28.104651000,171.6999969482422,92.18340083149997,2007-03-10 01:47:25.670062000,53.2400016784668,89.76098746731805,2007-03-10 01:47:25.911948000,90.00166360150342,t26,10/3/2007,6225.145669662352,positive,90.972194149409,2007-03-10 01:47:26.887356500,0.9705305479055824,2.1817372299965427,-0.24067613418537803,236.98691698736627,-26.149213802038517,105.44241078563324,105.44241078563324,157.28629903837717,1024.462246413166,2.811486116990056,23.601484368143332
40,2007-03-10 01:48:16.462083000,200.89999389648438,91.61954680803592,2007-03-10 01:48:18.656187000,54.130001068115234,89.43641571515036,2007-03-10 01:48:18.087085000,90.00267130589829,t26,10/3/2007,6229.218643075475,negative,90.52798126159314,2007-03-10 01:48:17.559135000,0.5253099556948513,1.6168755021376313,-0.5662555907479287,175.76398050839146,-61.562518066503166,57.11109532421897,57.11109532421897,153.18400872967288,989.7051380799526,0.13730779337648666,28.006045482184888
41,2007-03-10 01:49:10.723708000,200.89999389648438,91.80946209004287,2007-03-10 01:49:08.689736000,53.2400016784668,89.78410387039185,2007-03-10 01:49:08.908654000,90.00302254994492,t26,10/3/2007,6230.137904998644,positive,90.79678298021736,2007-03-10 01:49:09.706722000,0.7937604302724424,1.806439540097955,-0.2189186795530702,196.39322653952235,-23.80437541175911,86.30790611713932,86.30790611713932,148.64187579354152,981.1078546237393,357.10798749307025,32.53390269038837
42,2007-03-10 01:49:58.856318000,171.6999969482422,92.22738214192213,2007-03-10 01:50:01.195636000,51.5099983215332,89.89878535270691,2007-03-10 01:50:01.091668000,90.00275364482178,t26,10/3/2007,6227.98501848537,negative,91.06308374731452,2007-03-10 01:50:00.025977000,1.0603301024927418,2.2246284971003547,-0.10396829211487102,241.75379365401162,-11.301226998634741,115.25007799406842,115.25007799406842,144.10828639815801,999.1301254556597,353.8913660816572,36.81465727212524
43,2007-03-10 01:50:53.464636000,125.0999984741211,91.5467774375511,2007-03-10 01:50:51.652598000,42.22999954223633,89.74380138072047,2007-03-10 01:50:51.912174000,90.00207901502625,t26,10/3/2007,6223.045791379472,positive,90.64528940913578,2007-03-10 01:50:52.558617000,0.6432103941095306,1.5446984225248457,-0.25827763430578443,167.75344792140362,-28.05212033906992,69.85931068254988,69.85931068254988,139.35001810897523,1045.0889184073858,350.1987283485248,41.10313722156135
44,2007-03-10 01:51:41.522564000,78.18000030517578,92.55455811049615,2007-03-10 01:51:43.816226000,29.81999969482422,90.27236991317477,2007-03-10 01:51:44.088346000,90.00161141256307,t26,10/3/2007,6215.301190822658,negative,91.41346401183546,2007-03-10 01:51:42.669395000,1.4118525992723931,2.5529466979330806,0.2707585006117057,276.8455709249958,29.371087751303463,153.13869888110813,153.13869888110813,134.88564100320536,1113.8093981607649,346.3368257565619,44.94652396984619
