,Peak Energy,Peak Elevation,Peak Azimuth,Azimuthal Ram Angle,Azimuthal Ram Time,Heavy Anion Peak Time,Heavy Anion Azimuth Angle,Flyby,Spacecraft Potential (LP),Instrument,Actuation Direction,Heavy Cation Peak Time,Heavy Cation Azimuth Angle,Azimuthal Angle to Heavy Ion,Azimuthal Angle to Ram,Deflection from Bulk,Bulk Azimuth,Bulk Time,Bulk Deflection from Ram Angle
2006-07-22 00:22:17.423230,3.453541953309385,17.656274859733838,98.4522567987442,90.03853525674003,2006-07-22 00:22:27.060657,2006-07-22 00:22:28.919912,88.18857439937892,t16,-0.5908333333333333,els,negative,,,10.26368239936528,8.413721542004168,10.909473093847282,87.54278370489692,2006-07-22 00:22:29.568946500,-2.4957515518431137
2006-07-22 00:22:23.384655,7.7450996638603335,15.674948179931267,93.69922256469727,90.03670430035497,2006-07-22 00:22:27.062497,2006-07-22 00:22:28.919912,88.18857439937892,t16,-0.5933333333333333,els,negative,,,5.510648165318344,3.662518264342296,6.156438859800346,87.54278370489692,2006-07-22 00:22:29.568946500,-2.49392059545805
2006-07-22 00:22:28.592222,5.414388838149911,,88.51462697329589,90.03496485341088,2006-07-22 00:22:27.064245,,,t16,-0.5954166666666666,ibs,negative,2006-07-22 00:22:29.996806,87.11706210417651,1.3975648691193783,-1.5203378801149938,0.9718432683989704,87.54278370489692,2006-07-22 00:22:29.568946500,-2.492181148513964
2006-07-22 00:22:28.649428,7.621377536178989,,88.45770693030136,90.0349495378871,2006-07-22 00:22:27.064260,,,t16,-0.5954166666666666,ibs,negative,2006-07-22 00:22:29.996806,87.11706210417651,1.3406448261248443,-1.5772426075857453,0.9149232254044364,87.54278370489692,2006-07-22 00:22:29.568946500,-2.4921658329901817
2006-07-22 00:22:29.023222,9.820742729340552,,88.08578079521249,90.03485232334046,2006-07-22 00:22:27.064358,,,t16,-0.5958333333333333,ibs,negative,2006-07-22 00:22:30.217981,86.89699301041492,1.1887877847975687,-1.9490715281279734,0.5429970903155663,87.54278370489692,2006-07-22 00:22:29.568946500,-2.4920686184435397
2006-07-22 00:23:13.139463,9.677041042016905,,86.25770393018865,90.02173258785052,2006-07-22 00:23:16.922399,,,t16,-0.5958333333333333,ibs,positive,2006-07-22 00:23:14.210152,87.3230391063571,-1.0653351761684462,-3.764028657661868,-2.210091351167648,88.4677952813563,2006-07-22 00:23:15.360657500,-1.5539373064942197
2006-07-22 00:23:13.325661,7.431623673136037,,86.44297073746657,90.0216788068978,2006-07-22 00:23:16.922345,,,t16,-0.5958333333333333,ibs,positive,2006-07-22 00:23:14.210152,87.3230391063571,-0.8800683688905337,-3.5787080694312294,-2.0248245438897357,88.4677952813563,2006-07-22 00:23:15.360657500,-1.5538835255414938
2006-07-22 00:23:13.434209,5.370547469703831,,86.55097604507046,90.02164794571652,2006-07-22 00:23:16.922314,,,t16,-0.5958333333333333,ibs,positive,2006-07-22 00:23:14.210152,87.3230391063571,-0.7720630612866444,-3.4706719006460673,-1.9168192362858463,88.4677952813563,2006-07-22 00:23:15.360657500,-1.553852664360221
2006-07-22 00:23:14.769577,34.26995252161552,12.068743435817815,87.87966863287147,90.02129790213006,2006-07-22 00:23:16.921962,2006-07-22 00:23:16.511163,89.6125514563555,t16,-0.5954166666666666,els,positive,,,-1.732882823484033,-2.141629269258587,-0.5881266484848311,88.4677952813563,2006-07-22 00:23:15.360657500,-1.553502620773756
2006-07-22 00:23:16.645952,7.66394678640261,11.20178850846768,89.74666687163517,90.02089849182906,2006-07-22 00:23:16.921561,2006-07-22 00:23:16.511163,89.6125514563555,t16,-0.5945833333333334,els,positive,,,0.1341154152796662,-0.2742316201938877,1.278871590278868,88.4677952813563,2006-07-22 00:23:15.360657500,-1.5531032104727558
