,Peak Energy,Peak Elevation,Peak Azimuth,Azimuthal Ram Angle,Azimuthal Ram Time,Heavy Anion Peak Time,Heavy Anion Azimuth Angle,Flyby,Spacecraft Potential (LP),Instrument,Actuation Direction,Heavy Cation Peak Time,Heavy Cation Azimuth Angle,Azimuthal Angle to Heavy Ion,Azimuthal Angle to Ram,Deflection from Bulk,Bulk Azimuth,Bulk Time,Bulk Deflection from Ram Angle,Peak Time,Altitude,Longitude,Latitude,Crosstrack velocity,Absolute Crosstrack velocity
0,34.26995252161552,12.068743435817813,87.87966863287147,90.02129790213007,2006-07-22 00:23:16.921962,2006-07-22 00:23:16.511163,89.61255145635549,t16,-0.5954166666666666,els,positive,,,-1.7328828234840334,-2.141629269258587,-0.5881266484848311,88.4677952813563,2006-07-22 00:23:15.360657500,-1.553502620773756,2006-07-22 00:23:14.769577,1029.9472127162023,164.19909455037376,81.79712758586754,-162.66248196866525,162.66248196866525
1,287.396944053181,6.75572078428059,89.92197346687317,90.00747385512184,2006-07-22 00:24:10.096538,2006-07-22 00:24:11.723995,88.38001656532288,t16,-0.5941666666666666,els,negative,,,1.5419569015502932,-0.08550038824867556,1.931515535679864,87.99045793119329,2006-07-22 00:24:12.114818000,-2.01701592392854,2006-07-22 00:24:10.182038,977.1095604957289,179.3687898069788,86.8422280901621,-211.1777888540139,211.1777888540139
2,434.4392174337349,3.4953817232316617,87.73824343129581,89.9961898231125,2006-07-22 00:24:59.892117,2006-07-22 00:24:59.850144,89.95421648025513,t16,-0.59,els,positive,,,-2.215973048959313,-2.2579463918167018,-0.7320859867031686,88.47032941799898,2006-07-22 00:24:58.363452500,-1.5258604051135336,2006-07-22 00:24:57.632335,954.134230254464,297.67997060949136,87.87632262521225,-159.7688410514895,159.7688410514895
3,472.2522649032312,-3.8452819866401016,88.95467600617212,89.98647270870696,2006-07-22 00:25:52.117661,2006-07-22 00:25:52.906136,89.1980010266725,t16,-0.59,els,negative,,,-0.24332502050037874,-1.0317967025348338,0.9664209470256536,87.98825505914647,2006-07-22 00:25:54.119213000,-1.9982176495604875,2006-07-22 00:25:53.149462,953.9164550145308,324.892911269466,82.82115929220222,-209.21044651264904,209.21044651264904
4,326.48038679940555,-6.4535972405916695,87.1588001862765,89.9760638320771,2006-07-22 00:26:42.876248,2006-07-22 00:26:42.519119,89.62071949607163,t16,-0.59,els,positive,,,-2.461919309795121,-2.8172636458006077,-1.0888438577826491,88.24764404405914,2006-07-22 00:26:41.139147000,-1.728419788017959,2006-07-22 00:26:40.044835,976.1387151610671,328.9444796863562,78.35428444906795,-180.97224582756877,180.97224582756877
5,42.500384550355115,-13.27570761641256,89.69035941507627,89.96058550608862,2006-07-22 00:27:35.139374,2006-07-22 00:27:36.305901,88.79989092016693,t16,-0.5966666666666667,els,negative,,,0.8904684949093281,-0.2702260910123613,2.2456258621832603,87.44473355289301,2006-07-22 00:27:37.667866500,-2.5158519531956216,2006-07-22 00:27:35.410958,1028.2283610641878,330.97210477399136,73.15727228790728,-263.3747468468336,263.3747468468336
6,15.290652241866455,,90.4532003015338,89.99897639652981,2006-09-07 20:14:57.058389,,,t17,-0.6858333333333333,ibs,negative,2006-09-07 20:14:57.346746,89.71061944961548,0.7425808519183192,0.4542239050039854,-0.14177089295117185,90.59497119448496,2006-09-07 20:14:56.458818000,0.5959947979551572,2006-09-07 20:14:56.602174,1059.5287783154877,68.440956981043,24.254092730588084,62.411303764234326,62.411303764234326
7,15.528046326480831,,89.9353829884185,89.99852744911415,2006-09-07 20:15:47.945827,,,t17,-0.69,ibs,positive,2006-09-07 20:15:48.599504,90.64893731982374,-0.7135543314052484,-0.06314446069565349,-1.7133802762432424,91.64876326466174,2006-09-07 20:15:49.604354500,1.6502358155475891,2006-09-07 20:15:47.882366,1017.8048978032892,63.236831870286295,23.61324533912156,172.78839851537003,172.78839851537003
8,17.618298175859625,,91.92731193509098,89.99801984517221,2006-09-07 20:16:40.054752,,,t17,-0.699375,ibs,negative,2006-09-07 20:16:38.797304,91.24917536900557,0.6781365660854135,1.9292920899187609,-0.12186892718864327,92.04918086227964,2006-09-07 20:16:37.993277500,2.0511610171074044,2006-09-07 20:16:38.115759,1000.2040849777999,58.111287912080805,22.80361952815179,214.75120152198508,214.75120152198508
9,17.702454554283932,,90.18420962602795,89.99769405088921,2006-09-07 20:17:30.940130,,,t17,-0.6775,ibs,positive,2006-09-07 20:17:31.725376,90.77931478532082,-0.5951051592928707,0.18651557513875616,-1.5329001282711945,91.71710975429914,2006-09-07 20:17:32.667882000,1.7194157034099504,2006-09-07 20:17:31.127282,1006.9900582870881,52.757984065816125,21.76958267417978,180.0297670626809,180.0297670626809
10,17.417634782201322,,92.06834016007271,89.99772672027883,2006-09-07 20:18:23.059906,,,t17,-0.70125,ibs,negative,2006-09-07 20:18:21.680999,91.37003699204342,0.6983031680292697,2.07061343979386,-0.4432183085446013,92.51155846861731,2006-09-07 20:18:20.533740000,2.513831748338461,2006-09-07 20:18:20.979186,1037.0010451729302,47.85039177605719,20.65377784387408,263.1633952402175,263.1633952402175
11,17.340469149595574,,90.40131903716428,89.99806587658622,2006-09-07 20:19:12.940365,,,t17,-0.71,ibs,positive,2006-09-07 20:19:14.297950,91.34916000370596,-0.947840966541662,0.4032531605780463,-1.7577534885399473,92.15907252570423,2006-09-07 20:19:15.111931500,2.1610066491179936,2006-09-07 20:19:13.345345,1092.5488935014516,42.89458285126353,19.36633168917294,226.24643713283967,226.24643713283967
